country,country_code,year_week,age_group,new_cases,population,rate_14_day_per_100k,source
Austria,AT,2020-01,<15yr,NA,1285488,NA,TESSy COVID-19
Austria,AT,2020-02,<15yr,NA,1285488,NA,TESSy COVID-19
Austria,AT,2020-03,<15yr,NA,1285488,NA,TESSy COVID-19
Austria,AT,2020-04,<15yr,NA,1285488,NA,TESSy COVID-19
Austria,AT,2020-05,<15yr,NA,1285488,NA,TESSy COVID-19
Austria,AT,2020-06,<15yr,NA,1285488,NA,TESSy COVID-19
Austria,AT,2020-07,<15yr,NA,1285488,NA,TESSy COVID-19
Austria,AT,2020-08,<15yr,NA,1285488,NA,TESSy COVID-19
Austria,AT,2020-09,<15yr,0,1285488,NA,TESSy COVID-19
Austria,AT,2020-10,<15yr,7,1285488,0.5445402835343465,TESSy COVID-19
Austria,AT,2020-11,<15yr,10,1285488,1.3224549742976985,TESSy COVID-19
Austria,AT,2020-12,<15yr,59,1285488,5.36761136626713,TESSy COVID-19
Austria,AT,2020-13,<15yr,156,1285488,16.725165851412072,TESSy COVID-19
Austria,AT,2020-14,<15yr,104,1285488,20.225781959847154,TESSy COVID-19
Austria,AT,2020-15,<15yr,54,1285488,12.291052114060964,TESSy COVID-19
Austria,AT,2020-16,<15yr,14,1285488,5.289819897190794,TESSy COVID-19
Austria,AT,2020-17,<15yr,21,1285488,2.7227014176717326,TESSy COVID-19
Austria,AT,2020-18,<15yr,20,1285488,3.1894502321297438,TESSy COVID-19
Austria,AT,2020-19,<15yr,6,1285488,2.0225781959847153,TESSy COVID-19
Austria,AT,2020-20,<15yr,25,1285488,2.4115355413663915,TESSy COVID-19
Austria,AT,2020-21,<15yr,25,1285488,3.8895734538167606,TESSy COVID-19
Austria,AT,2020-22,<15yr,28,1285488,4.122947861045766,TESSy COVID-19
Austria,AT,2020-23,<15yr,33,1285488,4.745279613656448,TESSy COVID-19
Austria,AT,2020-24,<15yr,23,1285488,4.356322268274772,TESSy COVID-19
Austria,AT,2020-25,<15yr,32,1285488,4.278530799198436,TESSy COVID-19
Austria,AT,2020-26,<15yr,42,1285488,5.756568711648805,TESSy COVID-19
Austria,AT,2020-27,<15yr,109,1285488,11.746511830526616,TESSy COVID-19
Austria,AT,2020-28,<15yr,59,1285488,13.068966804824315,TESSy COVID-19
Austria,AT,2020-29,<15yr,95,1285488,11.979886237755622,TESSy COVID-19
Austria,AT,2020-30,<15yr,82,1285488,13.769090026511332,TESSy COVID-19
Austria,AT,2020-31,<15yr,74,1285488,12.135469175908293,TESSy COVID-19
Austria,AT,2020-32,<15yr,53,1285488,9.879516572694572,TESSy COVID-19
Austria,AT,2020-33,<15yr,78,1285488,10.190682448999913,TESSy COVID-19
Austria,AT,2020-34,<15yr,128,1285488,16.025042629725053,TESSy COVID-19
Austria,AT,2020-35,<15yr,177,1285488,23.72639806828224,TESSy COVID-19
Austria,AT,2020-36,<15yr,227,1285488,31.427753506839426,TESSy COVID-19
Austria,AT,2020-37,<15yr,385,1285488,47.60837907471715,TESSy COVID-19
Austria,AT,2020-38,<15yr,512,1285488,69.77894776147268,TESSy COVID-19
Austria,AT,2020-39,<15yr,470,1285488,76.39122263296117,TESSy COVID-19
Austria,AT,2020-40,<15yr,618,1285488,84.6371183550527,TESSy COVID-19
Austria,AT,2020-41,<15yr,843,1285488,113.65333632052575,TESSy COVID-19
Austria,AT,2020-42,<15yr,985,1285488,142.20280547154076,TESSy COVID-19
Austria,AT,2020-43,<15yr,1370,1285488,183.19890967476942,TESSy COVID-19
